sample_id,Class_encoded,Class
4728,2,CALI
6019,4,HOROZ
5678,4,HOROZ
2571,0,BARBUNYA
9823,6,SIRA
727,5,SEKER
7390,6,SIRA
9086,6,SIRA
1202,5,SEKER
9976,6,SIRA
2644,0,BARBUNYA
10456,3,DERMASON
3443,1,BOMBAY
11140,3,DERMASON
408,5,SEKER
3702,1,BOMBAY
12132,3,DERMASON
12404,3,DERMASON
9382,6,SIRA
10743,3,DERMASON
3762,1,BOMBAY
6844,4,HOROZ
10799,3,DERMASON
677,5,SEKER
11593,3,DERMASON
3864,1,BOMBAY
12492,3,DERMASON
11704,3,DERMASON
2739,0,BARBUNYA
6781,4,HOROZ
5923,4,HOROZ
11342,3,DERMASON
7766,6,SIRA
6697,4,HOROZ
13495,3,DERMASON
9713,6,SIRA
8080,6,SIRA
390,5,SEKER
11130,3,DERMASON
736,5,SEKER
5172,2,CALI
13384,3,DERMASON
10819,3,DERMASON
7471,6,SIRA
7197,4,HOROZ
8335,6,SIRA
45,5,SEKER
6630,4,HOROZ
404,5,SEKER
5156,2,CALI
4155,2,CALI
8944,6,SIRA
4548,2,CALI
2600,0,BARBUNYA
11995,3,DERMASON
2965,0,BARBUNYA
9448,6,SIRA
12782,3,DERMASON
5374,2,CALI
5935,4,HOROZ
8428,6,SIRA
1703,5,SEKER
4166,2,CALI
13011,3,DERMASON
8758,6,SIRA
8812,6,SIRA
229,5,SEKER
6252,4,HOROZ
3308,0,BARBUNYA
2960,0,BARBUNYA
2632,0,BARBUNYA
46,5,SEKER
1799,5,SEKER
5193,2,CALI
4542,2,CALI
1110,5,SEKER
9758,6,SIRA
1039,5,SEKER
12457,3,DERMASON
6470,4,HOROZ
4362,2,CALI
9707,6,SIRA
7482,6,SIRA
12685,3,DERMASON
5091,2,CALI
800,5,SEKER
8220,6,SIRA
11039,3,DERMASON
4865,2,CALI
1718,5,SEKER
4755,2,CALI
9012,6,SIRA
2920,0,BARBUNYA
4593,2,CALI
13538,3,DERMASON
2872,0,BARBUNYA
4704,2,CALI
565,5,SEKER
6546,4,HOROZ
11304,3,DERMASON
12203,3,DERMASON
5992,4,HOROZ
2815,0,BARBUNYA
319,5,SEKER
1510,5,SEKER
7575,6,SIRA
3728,1,BOMBAY
2276,0,BARBUNYA
11340,3,DERMASON
12989,3,DERMASON
6733,4,HOROZ
622,5,SEKER
2595,0,BARBUNYA
12909,3,DERMASON
9447,6,SIRA
5334,2,CALI
4975,2,CALI
3848,1,BOMBAY
12872,3,DERMASON
5084,2,CALI
5185,2,CALI
7899,6,SIRA
4939,2,CALI
4488,2,CALI
11062,3,DERMASON
7259,4,HOROZ
8820,6,SIRA
3097,0,BARBUNYA
12901,3,DERMASON
9001,6,SIRA
2099,0,BARBUNYA
651,5,SEKER
12670,3,DERMASON
9234,6,SIRA
4739,2,CALI
10272,3,DERMASON
8948,6,SIRA
10895,3,DERMASON
2242,0,BARBUNYA
9897,6,SIRA
9062,6,SIRA
7097,4,HOROZ
10001,3,DERMASON
9407,6,SIRA
2249,0,BARBUNYA
5564,4,HOROZ
13106,3,DERMASON
9328,6,SIRA
3073,0,BARBUNYA
9693,6,SIRA
5734,4,HOROZ
5484,2,CALI
4724,2,CALI
12547,3,DERMASON
6403,4,HOROZ
8363,6,SIRA
3645,1,BOMBAY
13500,3,DERMASON
6170,4,HOROZ
7901,6,SIRA
8922,6,SIRA
10141,3,DERMASON
8268,6,SIRA
7423,6,SIRA
7489,6,SIRA
4788,2,CALI
5223,2,CALI
12422,3,DERMASON
1953,5,SEKER
4919,2,CALI
8828,6,SIRA
13149,3,DERMASON
4390,2,CALI
49,5,SEKER
657,5,SEKER
1495,5,SEKER
4219,2,CALI
12048,3,DERMASON
11351,3,DERMASON
12947,3,DERMASON
10795,3,DERMASON
5437,2,CALI
7743,6,SIRA
2478,0,BARBUNYA
3128,0,BARBUNYA
12123,3,DERMASON
12524,3,DERMASON
5955,4,HOROZ
1068,5,SEKER
4527,2,CALI
1520,5,SEKER
11794,3,DERMASON
10452,3,DERMASON
9678,6,SIRA
11156,3,DERMASON
6903,4,HOROZ
9228,6,SIRA
3664,1,BOMBAY
6701,4,HOROZ
104,5,SEKER
756,5,SEKER
7685,6,SIRA
5845,4,HOROZ
630,5,SEKER
12931,3,DERMASON
7781,6,SIRA
3327,0,BARBUNYA
5666,4,HOROZ
13226,3,DERMASON
7168,4,HOROZ
4149,2,CALI
581,5,SEKER
11701,3,DERMASON
2190,0,BARBUNYA
8267,6,SIRA
8579,6,SIRA
268,5,SEKER
6347,4,HOROZ
6365,4,HOROZ
8541,6,SIRA
4602,2,CALI
10128,3,DERMASON
3260,0,BARBUNYA
401,5,SEKER
3617,1,BOMBAY
8551,6,SIRA
9638,6,SIRA
7467,6,SIRA
7376,6,SIRA
13318,3,DERMASON
2350,0,BARBUNYA
6401,4,HOROZ
8170,6,SIRA
1038,5,SEKER
10023,3,DERMASON
7184,4,HOROZ
8342,6,SIRA
2225,0,BARBUNYA
7319,4,HOROZ
13345,3,DERMASON
7797,6,SIRA
5083,2,CALI
2683,0,BARBUNYA
7951,6,SIRA
11288,3,DERMASON
5174,2,CALI
11031,3,DERMASON
2874,0,BARBUNYA
6520,4,HOROZ
8510,6,SIRA
5745,4,HOROZ
12306,3,DERMASON
5932,4,HOROZ
9324,6,SIRA
9355,6,SIRA
1234,5,SEKER
11275,3,DERMASON
1021,5,SEKER
5663,4,HOROZ
2348,0,BARBUNYA
8096,6,SIRA
13525,3,DERMASON
6431,4,HOROZ
6144,4,HOROZ
6326,4,HOROZ
2523,0,BARBUNYA
7817,6,SIRA
7617,6,SIRA
6480,4,HOROZ
243,5,SEKER
4107,2,CALI
4513,2,CALI
24,5,SEKER
7911,6,SIRA
1786,5,SEKER
3472,1,BOMBAY
5214,2,CALI
12749,3,DERMASON
12965,3,DERMASON
4377,2,CALI
7159,4,HOROZ
6432,4,HOROZ
9263,6,SIRA
781,5,SEKER
12994,3,DERMASON
10853,3,DERMASON
6777,4,HOROZ
7200,4,HOROZ
12279,3,DERMASON
8056,6,SIRA
3925,2,CALI
609,5,SEKER
12102,3,DERMASON
514,5,SEKER
11643,3,DERMASON
9606,6,SIRA
4774,2,CALI
12736,3,DERMASON
7358,4,HOROZ
12065,3,DERMASON
10225,3,DERMASON
4212,2,CALI
6388,4,HOROZ
894,5,SEKER
4077,2,CALI
8725,6,SIRA
1383,5,SEKER
7764,6,SIRA
2492,0,BARBUNYA
12626,3,DERMASON
2456,0,BARBUNYA
8463,6,SIRA
4930,2,CALI
5572,4,HOROZ
6087,4,HOROZ
11385,3,DERMASON
9965,6,SIRA
10279,3,DERMASON
5206,2,CALI
9783,6,SIRA
7867,6,SIRA
5674,4,HOROZ
13261,3,DERMASON
5522,4,HOROZ
3786,1,BOMBAY
9609,6,SIRA
8250,6,SIRA
8155,6,SIRA
5791,4,HOROZ
11848,3,DERMASON
8527,6,SIRA
6303,4,HOROZ
10440,3,DERMASON
13166,3,DERMASON
8673,6,SIRA
7090,4,HOROZ
4191,2,CALI
2664,0,BARBUNYA
1115,5,SEKER
9561,6,SIRA
73,5,SEKER
12887,3,DERMASON
3737,1,BOMBAY
13377,3,DERMASON
567,5,SEKER
7290,4,HOROZ
5513,4,HOROZ
10239,3,DERMASON
11274,3,DERMASON
2750,0,BARBUNYA
2552,0,BARBUNYA
10790,3,DERMASON
710,5,SEKER
11396,3,DERMASON
13477,3,DERMASON
1449,5,SEKER
2194,0,BARBUNYA
7837,6,SIRA
2131,0,BARBUNYA
2795,0,BARBUNYA
3800,1,BOMBAY
2240,0,BARBUNYA
10185,3,DERMASON
11889,3,DERMASON
5340,2,CALI
2071,0,BARBUNYA
7271,4,HOROZ
1061,5,SEKER
6804,4,HOROZ
4936,2,CALI
7728,6,SIRA
424,5,SEKER
1673,5,SEKER
10481,3,DERMASON
13114,3,DERMASON
4634,2,CALI
2788,0,BARBUNYA
986,5,SEKER
11415,3,DERMASON
12804,3,DERMASON
11526,3,DERMASON
9968,6,SIRA
3393,1,BOMBAY
6765,4,HOROZ
10508,3,DERMASON
5565,4,HOROZ
334,5,SEKER
7622,6,SIRA
144,5,SEKER
6111,4,HOROZ
11675,3,DERMASON
5547,4,HOROZ
13053,3,DERMASON
1528,5,SEKER
8748,6,SIRA
4646,2,CALI
9966,6,SIRA
4336,2,CALI
4293,2,CALI
8767,6,SIRA
43,5,SEKER
6406,4,HOROZ
11666,3,DERMASON
3261,0,BARBUNYA
4,5,SEKER
37,5,SEKER
7863,6,SIRA
308,5,SEKER
7425,6,SIRA
8086,6,SIRA
4136,2,CALI
5134,2,CALI
12085,3,DERMASON
304,5,SEKER
4699,2,CALI
10954,3,DERMASON
7983,6,SIRA
10680,3,DERMASON
1752,5,SEKER
6027,4,HOROZ
2521,0,BARBUNYA
12024,3,DERMASON
10700,3,DERMASON
3274,0,BARBUNYA
8242,6,SIRA
6020,4,HOROZ
953,5,SEKER
2038,0,BARBUNYA
9668,6,SIRA
12111,3,DERMASON
7580,6,SIRA
1828,5,SEKER
7674,6,SIRA
8437,6,SIRA
5469,2,CALI
3824,1,BOMBAY
2554,0,BARBUNYA
1898,5,SEKER
13047,3,DERMASON
1093,5,SEKER
1863,5,SEKER
10078,3,DERMASON
12844,3,DERMASON
8230,6,SIRA
13079,3,DERMASON
4024,2,CALI
10758,3,DERMASON
10796,3,DERMASON
10432,3,DERMASON
11648,3,DERMASON
7939,6,SIRA
11456,3,DERMASON
924,5,SEKER
7000,4,HOROZ
12154,3,DERMASON
10735,3,DERMASON
5758,4,HOROZ
3246,0,BARBUNYA
2980,0,BARBUNYA
72,5,SEKER
2709,0,BARBUNYA
5481,2,CALI
2259,0,BARBUNYA
6353,4,HOROZ
2420,0,BARBUNYA
12674,3,DERMASON
2384,0,BARBUNYA
2772,0,BARBUNYA
3171,0,BARBUNYA
3145,0,BARBUNYA
2042,0,BARBUNYA
11250,3,DERMASON
394,5,SEKER
9198,6,SIRA
3744,1,BOMBAY
6239,4,HOROZ
1351,5,SEKER
1736,5,SEKER
9294,6,SIRA
10769,3,DERMASON
8017,6,SIRA
940,5,SEKER
4786,2,CALI
4510,2,CALI
4962,2,CALI
4141,2,CALI
2267,0,BARBUNYA
10584,3,DERMASON
5142,2,CALI
13052,3,DERMASON
2700,0,BARBUNYA
10572,3,DERMASON
9585,6,SIRA
4442,2,CALI
11732,3,DERMASON
6897,4,HOROZ
4104,2,CALI
2851,0,BARBUNYA
1230,5,SEKER
10837,3,DERMASON
3377,1,BOMBAY
9013,6,SIRA
9605,6,SIRA
3177,0,BARBUNYA
6718,4,HOROZ
12023,3,DERMASON
4792,2,CALI
10806,3,DERMASON
11325,3,DERMASON
12596,3,DERMASON
7203,4,HOROZ
7438,6,SIRA
11283,3,DERMASON
11498,3,DERMASON
6636,4,HOROZ
12679,3,DERMASON
134,5,SEKER
5875,4,HOROZ
7853,6,SIRA
6577,4,HOROZ
8046,6,SIRA
10367,3,DERMASON
10593,3,DERMASON
3613,1,BOMBAY
9129,6,SIRA
9528,6,SIRA
1693,5,SEKER
10284,3,DERMASON
12138,3,DERMASON
1883,5,SEKER
3942,2,CALI
4103,2,CALI
4411,2,CALI
3899,2,CALI
11180,3,DERMASON
2908,0,BARBUNYA
11190,3,DERMASON
5896,4,HOROZ
9168,6,SIRA
3817,1,BOMBAY
7579,6,SIRA
7655,6,SIRA
7023,4,HOROZ
6485,4,HOROZ
11046,3,DERMASON
9178,6,SIRA
7691,6,SIRA
11740,3,DERMASON
6708,4,HOROZ
6006,4,HOROZ
1046,5,SEKER
12272,3,DERMASON
2662,0,BARBUNYA
3605,1,BOMBAY
11744,3,DERMASON
10605,3,DERMASON
6313,4,HOROZ
11915,3,DERMASON
8197,6,SIRA
10816,3,DERMASON
647,5,SEKER
5587,4,HOROZ
2395,0,BARBUNYA
12856,3,DERMASON
2262,0,BARBUNYA
1884,5,SEKER
9192,6,SIRA
13401,3,DERMASON
10701,3,DERMASON
11485,3,DERMASON
10017,3,DERMASON
11885,3,DERMASON
1713,5,SEKER
4516,2,CALI
3318,0,BARBUNYA
2813,0,BARBUNYA
427,5,SEKER
1330,5,SEKER
11515,3,DERMASON
4987,2,CALI
3740,1,BOMBAY
1838,5,SEKER
1030,5,SEKER
5695,4,HOROZ
13526,3,DERMASON
792,5,SEKER
4418,2,CALI
1835,5,SEKER
7494,6,SIRA
5821,4,HOROZ
10658,3,DERMASON
6396,4,HOROZ
370,5,SEKER
10912,3,DERMASON
10293,3,DERMASON
8528,6,SIRA
10729,3,DERMASON
6884,4,HOROZ
12903,3,DERMASON
9359,6,SIRA
1473,5,SEKER
10146,3,DERMASON
6918,4,HOROZ
2271,0,BARBUNYA
4479,2,CALI
11258,3,DERMASON
6787,4,HOROZ
7697,6,SIRA
1768,5,SEKER
11856,3,DERMASON
10710,3,DERMASON
2375,0,BARBUNYA
5321,2,CALI
9644,6,SIRA
4899,2,CALI
12038,3,DERMASON
8602,6,SIRA
12413,3,DERMASON
7686,6,SIRA
12352,3,DERMASON
1544,5,SEKER
1843,5,SEKER
8808,6,SIRA
5902,4,HOROZ
12888,3,DERMASON
2620,0,BARBUNYA
12986,3,DERMASON
328,5,SEKER
3890,2,CALI
10122,3,DERMASON
10295,3,DERMASON
8722,6,SIRA
7480,6,SIRA
11729,3,DERMASON
4320,2,CALI
12290,3,DERMASON
4591,2,CALI
12322,3,DERMASON
2376,0,BARBUNYA
8846,6,SIRA
6948,4,HOROZ
11810,3,DERMASON
1424,5,SEKER
3049,0,BARBUNYA
6308,4,HOROZ
3886,2,CALI
11259,3,DERMASON
10750,3,DERMASON
12753,3,DERMASON
5278,2,CALI
13378,3,DERMASON
8567,6,SIRA
9166,6,SIRA
13193,3,DERMASON
9652,6,SIRA
508,5,SEKER
10985,3,DERMASON
2985,0,BARBUNYA
3454,1,BOMBAY
11509,3,DERMASON
13288,3,DERMASON
2397,0,BARBUNYA
517,5,SEKER
4305,2,CALI
4008,2,CALI
5906,4,HOROZ
10411,3,DERMASON
12443,3,DERMASON
5577,4,HOROZ
13534,3,DERMASON
3752,1,BOMBAY
9508,6,SIRA
1978,5,SEKER
3535,1,BOMBAY
8746,6,SIRA
2850,0,BARBUNYA
3723,1,BOMBAY
11541,3,DERMASON
8134,6,SIRA
2947,0,BARBUNYA
5913,4,HOROZ
13416,3,DERMASON
8770,6,SIRA
4169,2,CALI
5990,4,HOROZ
5779,4,HOROZ
6147,4,HOROZ
11974,3,DERMASON
6737,4,HOROZ
11866,3,DERMASON
4272,2,CALI
12733,3,DERMASON
6556,4,HOROZ
8862,6,SIRA
5959,4,HOROZ
1007,5,SEKER
8372,6,SIRA
5364,2,CALI
9446,6,SIRA
4409,2,CALI
9152,6,SIRA
6216,4,HOROZ
8717,6,SIRA
5168,2,CALI
5126,2,CALI
11669,3,DERMASON
3562,1,BOMBAY
8403,6,SIRA
7014,4,HOROZ
11450,3,DERMASON
3640,1,BOMBAY
9298,6,SIRA
8530,6,SIRA
9193,6,SIRA
2762,0,BARBUNYA
10086,3,DERMASON
3927,2,CALI
12300,3,DERMASON
3218,0,BARBUNYA
10643,3,DERMASON
11428,3,DERMASON
5028,2,CALI
8803,6,SIRA
11925,3,DERMASON
12663,3,DERMASON
7916,6,SIRA
12956,3,DERMASON
7780,6,SIRA
4927,2,CALI
9340,6,SIRA
360,5,SEKER
5763,4,HOROZ
5859,4,HOROZ
7937,6,SIRA
2578,0,BARBUNYA
1277,5,SEKER
10586,3,DERMASON
4469,2,CALI
12220,3,DERMASON
3904,2,CALI
1636,5,SEKER
13177,3,DERMASON
11973,3,DERMASON
3994,2,CALI
3028,0,BARBUNYA
9440,6,SIRA
10032,3,DERMASON
3514,1,BOMBAY
12725,3,DERMASON
9074,6,SIRA
11782,3,DERMASON
852,5,SEKER
10170,3,DERMASON
1571,5,SEKER
7933,6,SIRA
4940,2,CALI
13486,3,DERMASON
8661,6,SIRA
9849,6,SIRA
7585,6,SIRA
4993,2,CALI
4645,2,CALI
11182,3,DERMASON
505,5,SEKER
7001,4,HOROZ
9836,6,SIRA
12730,3,DERMASON
7065,4,HOROZ
854,5,SEKER
2543,0,BARBUNYA
4329,2,CALI
11065,3,DERMASON
8083,6,SIRA
8404,6,SIRA
1538,5,SEKER
2651,0,BARBUNYA
8511,6,SIRA
11303,3,DERMASON
1740,5,SEKER
10541,3,DERMASON
7980,6,SIRA
13446,3,DERMASON
1113,5,SEKER
6592,4,HOROZ
231,5,SEKER
3431,1,BOMBAY
11524,3,DERMASON
11939,3,DERMASON
6442,4,HOROZ
967,5,SEKER
2936,0,BARBUNYA
6607,4,HOROZ
6808,4,HOROZ
12759,3,DERMASON
10504,3,DERMASON
10395,3,DERMASON
436,5,SEKER
8435,6,SIRA
2717,0,BARBUNYA
12142,3,DERMASON
759,5,SEKER
11644,3,DERMASON
1325,5,SEKER
8546,6,SIRA
6301,4,HOROZ
4706,2,CALI
7709,6,SIRA
2083,0,BARBUNYA
3042,0,BARBUNYA
3284,0,BARBUNYA
8162,6,SIRA
4742,2,CALI
3587,1,BOMBAY
7215,4,HOROZ
12911,3,DERMASON
10534,3,DERMASON
12358,3,DERMASON
492,5,SEKER
11405,3,DERMASON
4154,2,CALI
3919,2,CALI
13511,3,DERMASON
11977,3,DERMASON
11946,3,DERMASON
7429,6,SIRA
10347,3,DERMASON
12109,3,DERMASON
10110,3,DERMASON
11183,3,DERMASON
11244,3,DERMASON
256,5,SEKER
8949,6,SIRA
5849,4,HOROZ
13099,3,DERMASON
13380,3,DERMASON
11646,3,DERMASON
11891,3,DERMASON
9380,6,SIRA
4428,2,CALI
12511,3,DERMASON
3439,1,BOMBAY
2036,0,BARBUNYA
12602,3,DERMASON
11780,3,DERMASON
12698,3,DERMASON
1927,5,SEKER
1470,5,SEKER
6466,4,HOROZ
2323,0,BARBUNYA
9847,6,SIRA
1271,5,SEKER
10914,3,DERMASON
4915,2,CALI
10304,3,DERMASON
11482,3,DERMASON
6580,4,HOROZ
8775,6,SIRA
12395,3,DERMASON
2051,0,BARBUNYA
4623,2,CALI
2882,0,BARBUNYA
7645,6,SIRA
4999,2,CALI
4938,2,CALI
4751,2,CALI
4568,2,CALI
2575,0,BARBUNYA
7695,6,SIRA
8129,6,SIRA
9300,6,SIRA
4177,2,CALI
2722,0,BARBUNYA
949,5,SEKER
576,5,SEKER
1995,5,SEKER
5718,4,HOROZ
7115,4,HOROZ
9349,6,SIRA
1611,5,SEKER
10407,3,DERMASON
6936,4,HOROZ
1042,5,SEKER
5226,2,CALI
4536,2,CALI
1910,5,SEKER
7198,4,HOROZ
5229,2,CALI
11152,3,DERMASON
613,5,SEKER
6954,4,HOROZ
194,5,SEKER
8678,6,SIRA
4850,2,CALI
13515,3,DERMASON
6487,4,HOROZ
5838,4,HOROZ
7850,6,SIRA
11799,3,DERMASON
7226,4,HOROZ
10256,3,DERMASON
4599,2,CALI
7757,6,SIRA
10776,3,DERMASON
6624,4,HOROZ
11155,3,DERMASON
4461,2,CALI
6174,4,HOROZ
5895,4,HOROZ
4126,2,CALI
11540,3,DERMASON
7292,4,HOROZ
10955,3,DERMASON
2308,0,BARBUNYA
1940,5,SEKER
2447,0,BARBUNYA
6605,4,HOROZ
1050,5,SEKER
11847,3,DERMASON
524,5,SEKER
11492,3,DERMASON
3733,1,BOMBAY
5573,4,HOROZ
10228,3,DERMASON
1191,5,SEKER
9885,6,SIRA
1135,5,SEKER
5654,4,HOROZ
5462,2,CALI
2044,0,BARBUNYA
12712,3,DERMASON
2084,0,BARBUNYA
4106,2,CALI
866,5,SEKER
1283,5,SEKER
4547,2,CALI
2281,0,BARBUNYA
7666,6,SIRA
1867,5,SEKER
5940,4,HOROZ
9430,6,SIRA
5738,4,HOROZ
9852,6,SIRA
673,5,SEKER
445,5,SEKER
1590,5,SEKER
68,5,SEKER
13505,3,DERMASON
10603,3,DERMASON
2977,0,BARBUNYA
2129,0,BARBUNYA
12106,3,DERMASON
4100,2,CALI
13313,3,DERMASON
6122,4,HOROZ
8900,6,SIRA
10425,3,DERMASON
5009,2,CALI
12423,3,DERMASON
7796,6,SIRA
11862,3,DERMASON
5543,4,HOROZ
3214,0,BARBUNYA
40,5,SEKER
8492,6,SIRA
6955,4,HOROZ
5203,2,CALI
9826,6,SIRA
11326,3,DERMASON
13036,3,DERMASON
12054,3,DERMASON
7477,6,SIRA
11012,3,DERMASON
5771,4,HOROZ
11905,3,DERMASON
8252,6,SIRA
795,5,SEKER
896,5,SEKER
6199,4,HOROZ
9980,6,SIRA
7142,4,HOROZ
10812,3,DERMASON
6665,4,HOROZ
4473,2,CALI
7486,6,SIRA
9174,6,SIRA
1539,5,SEKER
6757,4,HOROZ
9305,6,SIRA
9959,6,SIRA
8684,6,SIRA
12412,3,DERMASON
10484,3,DERMASON
1267,5,SEKER
8015,6,SIRA
12833,3,DERMASON
1134,5,SEKER
10321,3,DERMASON
8236,6,SIRA
10092,3,DERMASON
4237,2,CALI
481,5,SEKER
9521,6,SIRA
6274,4,HOROZ
1889,5,SEKER
2461,0,BARBUNYA
11800,3,DERMASON
12774,3,DERMASON
10967,3,DERMASON
4076,2,CALI
12558,3,DERMASON
12270,3,DERMASON
11091,3,DERMASON
2747,0,BARBUNYA
10774,3,DERMASON
10715,3,DERMASON
8364,6,SIRA
10725,3,DERMASON
2442,0,BARBUNYA
2358,0,BARBUNYA
5164,2,CALI
4388,2,CALI
11919,3,DERMASON
6140,4,HOROZ
11176,3,DERMASON
8406,6,SIRA
5960,4,HOROZ
10539,3,DERMASON
2208,0,BARBUNYA
5621,4,HOROZ
12411,3,DERMASON
2634,0,BARBUNYA
3847,1,BOMBAY
6259,4,HOROZ
11175,3,DERMASON
574,5,SEKER
10897,3,DERMASON
1166,5,SEKER
3808,1,BOMBAY
5886,4,HOROZ
7513,6,SIRA
5581,4,HOROZ
8821,6,SIRA
843,5,SEKER
9182,6,SIRA
7024,4,HOROZ
8475,6,SIRA
1098,5,SEKER
12264,3,DERMASON
3526,1,BOMBAY
3345,0,BARBUNYA
560,5,SEKER
1719,5,SEKER
8368,6,SIRA
5839,4,HOROZ
6297,4,HOROZ
10377,3,DERMASON
2107,0,BARBUNYA
1010,5,SEKER
11682,3,DERMASON
5320,2,CALI
1588,5,SEKER
12415,3,DERMASON
5795,4,HOROZ
8839,6,SIRA
7081,4,HOROZ
12058,3,DERMASON
55,5,SEKER
12594,3,DERMASON
7864,6,SIRA
3900,2,CALI
7556,6,SIRA
7436,6,SIRA
3581,1,BOMBAY
1396,5,SEKER
13063,3,DERMASON
6961,4,HOROZ
3691,1,BOMBAY
8724,6,SIRA
4160,2,CALI
6380,4,HOROZ
5201,2,CALI
6064,4,HOROZ
5743,4,HOROZ
9241,6,SIRA
11107,3,DERMASON
11568,3,DERMASON
992,5,SEKER
3993,2,CALI
3227,0,BARBUNYA
4318,2,CALI
4695,2,CALI
3230,0,BARBUNYA
8054,6,SIRA
10691,3,DERMASON
739,5,SEKER
8340,6,SIRA
11696,3,DERMASON
3767,1,BOMBAY
2565,0,BARBUNYA
3335,0,BARBUNYA
1421,5,SEKER
8885,6,SIRA
11506,3,DERMASON
3172,0,BARBUNYA
8008,6,SIRA
9902,6,SIRA
7516,6,SIRA
6017,4,HOROZ
1757,5,SEKER
6855,4,HOROZ
9985,6,SIRA
8095,6,SIRA
11837,3,DERMASON
10999,3,DERMASON
10252,3,DERMASON
7794,6,SIRA
3416,1,BOMBAY
2145,0,BARBUNYA
7176,4,HOROZ
6086,4,HOROZ
9404,6,SIRA
11218,3,DERMASON
9886,6,SIRA
5410,2,CALI
10060,3,DERMASON
11041,3,DERMASON
9689,6,SIRA
10692,3,DERMASON
12540,3,DERMASON
10600,3,DERMASON
332,5,SEKER
9653,6,SIRA
11590,3,DERMASON
9712,6,SIRA
5097,2,CALI
10937,3,DERMASON
7060,4,HOROZ
5911,4,HOROZ
6036,4,HOROZ
6455,4,HOROZ
11493,3,DERMASON
9581,6,SIRA
8314,6,SIRA
10939,3,DERMASON
8457,6,SIRA
11923,3,DERMASON
1304,5,SEKER
911,5,SEKER
6967,4,HOROZ
7565,6,SIRA
5165,2,CALI
9339,6,SIRA
12018,3,DERMASON
3110,0,BARBUNYA
5310,2,CALI
3349,1,BOMBAY
11136,3,DERMASON
8513,6,SIRA
4702,2,CALI
2950,0,BARBUNYA
13405,3,DERMASON
12613,3,DERMASON
2663,0,BARBUNYA
9406,6,SIRA
3167,0,BARBUNYA
735,5,SEKER
6806,4,HOROZ
10096,3,DERMASON
12952,3,DERMASON
4014,2,CALI
2369,0,BARBUNYA
8217,6,SIRA
4912,2,CALI
12808,3,DERMASON
3778,1,BOMBAY
4125,2,CALI
3568,1,BOMBAY
9486,6,SIRA
11718,3,DERMASON
3302,0,BARBUNYA
12461,3,DERMASON
7225,4,HOROZ
1766,5,SEKER
786,5,SEKER
3586,1,BOMBAY
