method,model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature,explanation_value,abs_explanation_value
SHAP,logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,2,EquivDiameter,0.9477501706977078,0.9477501706977078
SHAP,logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,3,MinorAxisLength,0.8994005457175018,0.8994005457175018
SHAP,logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,4,ShapeFactor2,0.8738478017183023,0.8738478017183023
SHAP,logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.6470822256354658,0.6470822256354658
SHAP,logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,ShapeFactor1,4.319960630455829,4.319960630455829
SHAP,logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,EquivDiameter,1.767933754959548,1.767933754959548
SHAP,logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,ShapeFactor2,1.7056950217610558,1.7056950217610558
SHAP,logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,MajorAxisLength,1.570848399456395,1.570848399456395
SHAP,logistic_regression,Logistic Regression,scaled,3330,895,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,MinorAxisLength,1.320859904655299,1.320859904655299
SHAP,logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,1,Area,7.574755079727736,7.574755079727736
SHAP,logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,2,ConvexArea,7.511856087213911,7.511856087213911
SHAP,logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,3,MinorAxisLength,6.338560781027717,6.338560781027717
SHAP,logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,4,EquivDiameter,4.886574997423471,4.886574997423471
SHAP,logistic_regression,Logistic Regression,scaled,3450,1567,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,5,Perimeter,3.80497356517948,3.80497356517948
SHAP,logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,1,ConvexArea,15.396504023234192,15.396504023234192
SHAP,logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,2,Area,15.200548155221252,15.200548155221252
SHAP,logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,3,MinorAxisLength,9.947687572667787,9.947687572667787
SHAP,logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,4,EquivDiameter,8.207190671235677,8.207190671235677
SHAP,logistic_regression,Logistic Regression,scaled,3869,806,correct_bombay,logistic_regression,1,BOMBAY,1,BOMBAY,5,Perimeter,6.828208713248172,6.828208713248172
SHAP,logistic_regression,Logistic Regression,scaled,10554,1099,correct_dermason,random_forest,3,DERMASON,3,DERMASON,1,ShapeFactor1,3.971344304854925,3.971344304854925
SHAP,logistic_regression,Logistic Regression,scaled,10554,1099,correct_dermason,random_forest,3,DERMASON,3,DERMASON,2,MajorAxisLength,3.11295534570074,3.11295534570074
SHAP,logistic_regression,Logistic Regression,scaled,10554,1099,correct_dermason,random_forest,3,DERMASON,3,DERMASON,3,EquivDiameter,2.837924696464803,2.837924696464803
SHAP,logistic_regression,Logistic Regression,scaled,10554,1099,correct_dermason,random_forest,3,DERMASON,3,DERMASON,4,Perimeter,2.24588256779171,2.24588256779171
SHAP,logistic_regression,Logistic Regression,scaled,10554,1099,correct_dermason,random_forest,3,DERMASON,3,DERMASON,5,MinorAxisLength,2.085755449136612,2.085755449136612
SHAP,logistic_regression,Logistic Regression,scaled,11193,2097,correct_dermason,mlp,3,DERMASON,3,DERMASON,1,ShapeFactor1,3.9592564501501735,3.9592564501501735
SHAP,logistic_regression,Logistic Regression,scaled,11193,2097,correct_dermason,mlp,3,DERMASON,3,DERMASON,2,MajorAxisLength,2.5528090082605908,2.5528090082605908
SHAP,logistic_regression,Logistic Regression,scaled,11193,2097,correct_dermason,mlp,3,DERMASON,3,DERMASON,3,EquivDiameter,2.4923072929802457,2.4923072929802457
SHAP,logistic_regression,Logistic Regression,scaled,11193,2097,correct_dermason,mlp,3,DERMASON,3,DERMASON,4,MinorAxisLength,2.0854421753544408,2.0854421753544408
SHAP,logistic_regression,Logistic Regression,scaled,11193,2097,correct_dermason,mlp,3,DERMASON,3,DERMASON,5,Perimeter,1.931491635252573,1.931491635252573
SHAP,logistic_regression,Logistic Regression,scaled,11538,2056,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,1,ShapeFactor1,3.2357881775648383,3.2357881775648383
SHAP,logistic_regression,Logistic Regression,scaled,11538,2056,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,2,MajorAxisLength,2.5118734500372537,2.5118734500372537
SHAP,logistic_regression,Logistic Regression,scaled,11538,2056,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,3,EquivDiameter,2.338190218977481,2.338190218977481
SHAP,logistic_regression,Logistic Regression,scaled,11538,2056,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,4,Perimeter,1.8711837073452784,1.8711837073452784
SHAP,logistic_regression,Logistic Regression,scaled,11538,2056,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,5,MinorAxisLength,1.8271471583623136,1.8271471583623136
SHAP,logistic_regression,Logistic Regression,scaled,11678,1622,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,1,ShapeFactor1,3.4635082957178724,3.4635082957178724
SHAP,logistic_regression,Logistic Regression,scaled,11678,1622,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,2,MajorAxisLength,2.3333301520937764,2.3333301520937764
SHAP,logistic_regression,Logistic Regression,scaled,11678,1622,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,3,EquivDiameter,2.2725332038535764,2.2725332038535764
SHAP,logistic_regression,Logistic Regression,scaled,11678,1622,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,4,MinorAxisLength,1.8581051420908048,1.8581051420908048
SHAP,logistic_regression,Logistic Regression,scaled,11678,1622,correct_dermason,logistic_regression,3,DERMASON,3,DERMASON,5,Perimeter,1.8053692600500568,1.8053692600500568
SHAP,logistic_regression,Logistic Regression,scaled,12185,322,correct_dermason,mlp,3,DERMASON,3,DERMASON,1,ShapeFactor1,4.1186360004053215,4.1186360004053215
SHAP,logistic_regression,Logistic Regression,scaled,12185,322,correct_dermason,mlp,3,DERMASON,3,DERMASON,2,MinorAxisLength,2.1402249218099474,2.1402249218099474
SHAP,logistic_regression,Logistic Regression,scaled,12185,322,correct_dermason,mlp,3,DERMASON,3,DERMASON,3,EquivDiameter,2.031714317674345,2.031714317674345
SHAP,logistic_regression,Logistic Regression,scaled,12185,322,correct_dermason,mlp,3,DERMASON,3,DERMASON,4,MajorAxisLength,1.7088470124041315,1.7088470124041315
SHAP,logistic_regression,Logistic Regression,scaled,12185,322,correct_dermason,mlp,3,DERMASON,3,DERMASON,5,Perimeter,1.5487143481591834,1.5487143481591834
SHAP,logistic_regression,Logistic Regression,scaled,12237,1552,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,1,ShapeFactor1,2.451453990345107,2.451453990345107
SHAP,logistic_regression,Logistic Regression,scaled,12237,1552,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,2,MajorAxisLength,2.215157650073201,2.215157650073201
SHAP,logistic_regression,Logistic Regression,scaled,12237,1552,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,3,EquivDiameter,2.00814892250367,2.00814892250367
SHAP,logistic_regression,Logistic Regression,scaled,12237,1552,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,4,Perimeter,1.6428774783512323,1.6428774783512323
SHAP,logistic_regression,Logistic Regression,scaled,12237,1552,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,5,MinorAxisLength,1.5019320514524044,1.5019320514524044
SHAP,logistic_regression,Logistic Regression,scaled,12383,386,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,1,MajorAxisLength,2.3633152109628317,2.3633152109628317
SHAP,logistic_regression,Logistic Regression,scaled,12383,386,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,2,EquivDiameter,1.927033259542018,1.927033259542018
SHAP,logistic_regression,Logistic Regression,scaled,12383,386,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,3,Perimeter,1.6387475888102865,1.6387475888102865
SHAP,logistic_regression,Logistic Regression,scaled,12383,386,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,4,ShapeFactor1,1.6087957119931091,1.6087957119931091
SHAP,logistic_regression,Logistic Regression,scaled,12383,386,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,5,roundness,1.4160370804373912,1.4160370804373912
SHAP,logistic_regression,Logistic Regression,scaled,12838,2412,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,1,ShapeFactor1,2.239009643661313,2.239009643661313
SHAP,logistic_regression,Logistic Regression,scaled,12838,2412,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,2,MajorAxisLength,1.744518848347879,1.744518848347879
SHAP,logistic_regression,Logistic Regression,scaled,12838,2412,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,3,EquivDiameter,1.683962214007636,1.683962214007636
SHAP,logistic_regression,Logistic Regression,scaled,12838,2412,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,4,MinorAxisLength,1.416219773084904,1.416219773084904
SHAP,logistic_regression,Logistic Regression,scaled,12838,2412,correct_dermason,decision_tree,3,DERMASON,3,DERMASON,5,Perimeter,1.362803372476675,1.362803372476675
SHAP,logistic_regression,Logistic Regression,scaled,7636,2067,correct_sira,random_forest,6,SIRA,6,SIRA,1,Perimeter,1.1724410359919522,1.1724410359919522
SHAP,logistic_regression,Logistic Regression,scaled,7636,2067,correct_sira,random_forest,6,SIRA,6,SIRA,2,ConvexArea,0.8422315829129686,0.8422315829129686
SHAP,logistic_regression,Logistic Regression,scaled,7636,2067,correct_sira,random_forest,6,SIRA,6,SIRA,3,Area,0.8187070309336629,0.8187070309336629
SHAP,logistic_regression,Logistic Regression,scaled,7636,2067,correct_sira,random_forest,6,SIRA,6,SIRA,4,ShapeFactor1,-0.6701615102703001,0.6701615102703001
SHAP,logistic_regression,Logistic Regression,scaled,7636,2067,correct_sira,random_forest,6,SIRA,6,SIRA,5,MinorAxisLength,0.6258723962821433,0.6258723962821433
SHAP,logistic_regression,Logistic Regression,scaled,8943,362,correct_sira,logistic_regression,6,SIRA,6,SIRA,1,ShapeFactor4,-0.7562980672244021,0.7562980672244021
SHAP,logistic_regression,Logistic Regression,scaled,8943,362,correct_sira,logistic_regression,6,SIRA,6,SIRA,2,Perimeter,0.6379117915675141,0.6379117915675141
SHAP,logistic_regression,Logistic Regression,scaled,8943,362,correct_sira,logistic_regression,6,SIRA,6,SIRA,3,ConvexArea,0.5133722420850008,0.5133722420850008
SHAP,logistic_regression,Logistic Regression,scaled,8943,362,correct_sira,logistic_regression,6,SIRA,6,SIRA,4,Area,0.4892036307050736,0.4892036307050736
SHAP,logistic_regression,Logistic Regression,scaled,8943,362,correct_sira,logistic_regression,6,SIRA,6,SIRA,5,MajorAxisLength,0.3417531436989987,0.3417531436989987
SHAP,logistic_regression,Logistic Regression,scaled,9111,186,correct_sira,logistic_regression,6,SIRA,6,SIRA,1,Perimeter,0.6174143961651247,0.6174143961651247
SHAP,logistic_regression,Logistic Regression,scaled,9111,186,correct_sira,logistic_regression,6,SIRA,6,SIRA,2,ShapeFactor4,-0.5043872707257727,0.5043872707257727
SHAP,logistic_regression,Logistic Regression,scaled,9111,186,correct_sira,logistic_regression,6,SIRA,6,SIRA,3,ConvexArea,0.473452900134785,0.473452900134785
SHAP,logistic_regression,Logistic Regression,scaled,9111,186,correct_sira,logistic_regression,6,SIRA,6,SIRA,4,Area,0.4512783584631588,0.4512783584631588
SHAP,logistic_regression,Logistic Regression,scaled,9111,186,correct_sira,logistic_regression,6,SIRA,6,SIRA,5,MinorAxisLength,0.2917498348665973,0.2917498348665973
SHAP,logistic_regression,Logistic Regression,scaled,9316,462,correct_sira,decision_tree,6,SIRA,6,SIRA,1,ShapeFactor4,-0.6552217181852408,0.6552217181852408
SHAP,logistic_regression,Logistic Regression,scaled,9316,462,correct_sira,decision_tree,6,SIRA,6,SIRA,2,Perimeter,0.529617672874497,0.529617672874497
SHAP,logistic_regression,Logistic Regression,scaled,9316,462,correct_sira,decision_tree,6,SIRA,6,SIRA,3,ConvexArea,0.417425753537991,0.417425753537991
SHAP,logistic_regression,Logistic Regression,scaled,9316,462,correct_sira,decision_tree,6,SIRA,6,SIRA,4,Area,0.3968190412723109,0.3968190412723109
SHAP,logistic_regression,Logistic Regression,scaled,9316,462,correct_sira,decision_tree,6,SIRA,6,SIRA,5,MajorAxisLength,0.2894912208199366,0.2894912208199366
SHAP,logistic_regression,Logistic Regression,scaled,9463,1293,correct_sira,mlp,6,SIRA,6,SIRA,1,ConvexArea,0.3565462558520103,0.3565462558520103
SHAP,logistic_regression,Logistic Regression,scaled,9463,1293,correct_sira,mlp,6,SIRA,6,SIRA,2,Area,0.3513872144986847,0.3513872144986847
SHAP,logistic_regression,Logistic Regression,scaled,9463,1293,correct_sira,mlp,6,SIRA,6,SIRA,3,Perimeter,0.256101299696255,0.256101299696255
SHAP,logistic_regression,Logistic Regression,scaled,9463,1293,correct_sira,mlp,6,SIRA,6,SIRA,4,ShapeFactor4,-0.2460521690212562,0.2460521690212562
SHAP,logistic_regression,Logistic Regression,scaled,9463,1293,correct_sira,mlp,6,SIRA,6,SIRA,5,MajorAxisLength,0.2295440294875457,0.2295440294875457
SHAP,logistic_regression,Logistic Regression,scaled,9919,1094,correct_sira,decision_tree,6,SIRA,6,SIRA,1,Eccentricity,0.6439619609488666,0.6439619609488666
SHAP,logistic_regression,Logistic Regression,scaled,9919,1094,correct_sira,decision_tree,6,SIRA,6,SIRA,2,ShapeFactor4,-0.6035339334837273,0.6035339334837273
SHAP,logistic_regression,Logistic Regression,scaled,9919,1094,correct_sira,decision_tree,6,SIRA,6,SIRA,3,ShapeFactor2,0.4186817118411802,0.4186817118411802
SHAP,logistic_regression,Logistic Regression,scaled,9919,1094,correct_sira,decision_tree,6,SIRA,6,SIRA,4,AspectRation,-0.2382301139796028,0.2382301139796028
SHAP,logistic_regression,Logistic Regression,scaled,9919,1094,correct_sira,decision_tree,6,SIRA,6,SIRA,5,ShapeFactor3,0.1965784605654197,0.1965784605654197
SHAP,logistic_regression,Logistic Regression,scaled,9967,1890,correct_sira,random_forest,6,SIRA,6,SIRA,1,Eccentricity,0.4761932164416174,0.4761932164416174
SHAP,logistic_regression,Logistic Regression,scaled,9967,1890,correct_sira,random_forest,6,SIRA,6,SIRA,2,ShapeFactor2,0.3698668198490015,0.3698668198490015
SHAP,logistic_regression,Logistic Regression,scaled,9967,1890,correct_sira,random_forest,6,SIRA,6,SIRA,3,ShapeFactor1,0.318856143321729,0.318856143321729
SHAP,logistic_regression,Logistic Regression,scaled,9967,1890,correct_sira,random_forest,6,SIRA,6,SIRA,4,Perimeter,-0.1828550957802509,0.1828550957802509
SHAP,logistic_regression,Logistic Regression,scaled,9967,1890,correct_sira,random_forest,6,SIRA,6,SIRA,5,Extent,0.1390883848960205,0.1390883848960205
SHAP,logistic_regression,Logistic Regression,scaled,12877,2335,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,1,Perimeter,1.3070669127450565,1.3070669127450565
SHAP,logistic_regression,Logistic Regression,scaled,12877,2335,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,2,ConvexArea,0.9543859245826224,0.9543859245826224
SHAP,logistic_regression,Logistic Regression,scaled,12877,2335,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,3,Area,0.9315997235968532,0.9315997235968532
SHAP,logistic_regression,Logistic Regression,scaled,12877,2335,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,4,ShapeFactor1,-0.8833408891495789,0.8833408891495789
SHAP,logistic_regression,Logistic Regression,scaled,12877,2335,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,5,MinorAxisLength,0.73182521388068,0.73182521388068
SHAP,logistic_regression,Logistic Regression,scaled,13136,1480,dermason_predicted_as_sira,decision_tree,3,DERMASON,3,DERMASON,1,ShapeFactor1,2.488589706326,2.488589706326
SHAP,logistic_regression,Logistic Regression,scaled,13136,1480,dermason_predicted_as_sira,decision_tree,3,DERMASON,3,DERMASON,2,MinorAxisLength,1.5429196417088462,1.5429196417088462
SHAP,logistic_regression,Logistic Regression,scaled,13136,1480,dermason_predicted_as_sira,decision_tree,3,DERMASON,3,DERMASON,3,EquivDiameter,1.4866290414094487,1.4866290414094487
SHAP,logistic_regression,Logistic Regression,scaled,13136,1480,dermason_predicted_as_sira,decision_tree,3,DERMASON,3,DERMASON,4,MajorAxisLength,1.3119008654376898,1.3119008654376898
SHAP,logistic_regression,Logistic Regression,scaled,13136,1480,dermason_predicted_as_sira,decision_tree,3,DERMASON,3,DERMASON,5,Perimeter,1.2015398413598892,1.2015398413598892
SHAP,logistic_regression,Logistic Regression,scaled,13322,1696,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,1,Perimeter,1.2344867153906,1.2344867153906
SHAP,logistic_regression,Logistic Regression,scaled,13322,1696,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,2,ConvexArea,0.8167192215162142,0.8167192215162142
SHAP,logistic_regression,Logistic Regression,scaled,13322,1696,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,3,Area,0.791182997650721,0.791182997650721
SHAP,logistic_regression,Logistic Regression,scaled,13322,1696,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,4,MajorAxisLength,0.5889319942790022,0.5889319942790022
SHAP,logistic_regression,Logistic Regression,scaled,13322,1696,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,5,ShapeFactor1,-0.5823024114404383,0.5823024114404383
SHAP,logistic_regression,Logistic Regression,scaled,13372,2326,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,1,Perimeter,1.0906692221954322,1.0906692221954322
SHAP,logistic_regression,Logistic Regression,scaled,13372,2326,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,2,ShapeFactor1,-0.9772263451285066,0.9772263451285066
SHAP,logistic_regression,Logistic Regression,scaled,13372,2326,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,3,MinorAxisLength,0.7900763404293946,0.7900763404293946
SHAP,logistic_regression,Logistic Regression,scaled,13372,2326,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,4,ConvexArea,0.7880553331233902,0.7880553331233902
SHAP,logistic_regression,Logistic Regression,scaled,13372,2326,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,5,Area,0.7677802099930322,0.7677802099930322
SHAP,logistic_regression,Logistic Regression,scaled,13381,1676,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,1,Perimeter,1.1336420706353256,1.1336420706353256
SHAP,logistic_regression,Logistic Regression,scaled,13381,1676,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,2,ConvexArea,0.7918071509758541,0.7918071509758541
SHAP,logistic_regression,Logistic Regression,scaled,13381,1676,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,3,Area,0.762579590513546,0.762579590513546
SHAP,logistic_regression,Logistic Regression,scaled,13381,1676,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,4,ShapeFactor4,-0.7121956480211762,0.7121956480211762
SHAP,logistic_regression,Logistic Regression,scaled,13381,1676,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,5,MajorAxisLength,0.5732514844022143,0.5732514844022143
SHAP,logistic_regression,Logistic Regression,scaled,13395,1719,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,1,Perimeter,1.1711616500903426,1.1711616500903426
SHAP,logistic_regression,Logistic Regression,scaled,13395,1719,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,2,ConvexArea,0.7819023518453493,0.7819023518453493
SHAP,logistic_regression,Logistic Regression,scaled,13395,1719,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,3,Area,0.7550239735339148,0.7550239735339148
SHAP,logistic_regression,Logistic Regression,scaled,13395,1719,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,4,MajorAxisLength,0.6841158514152762,0.6841158514152762
SHAP,logistic_regression,Logistic Regression,scaled,13395,1719,dermason_predicted_as_sira,random_forest,3,DERMASON,6,SIRA,5,Eccentricity,-0.6205885657879762,0.6205885657879762
SHAP,logistic_regression,Logistic Regression,scaled,13448,2291,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,1,Perimeter,1.1573333939623025,1.1573333939623025
SHAP,logistic_regression,Logistic Regression,scaled,13448,2291,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,2,ConvexArea,0.7569902813049892,0.7569902813049892
SHAP,logistic_regression,Logistic Regression,scaled,13448,2291,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,3,Area,0.7281377520739287,0.7281377520739287
SHAP,logistic_regression,Logistic Regression,scaled,13448,2291,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,4,MajorAxisLength,0.5711097542786032,0.5711097542786032
SHAP,logistic_regression,Logistic Regression,scaled,13448,2291,dermason_predicted_as_sira,mlp,3,DERMASON,6,SIRA,5,EquivDiameter,0.5164703280098087,0.5164703280098087
SHAP,logistic_regression,Logistic Regression,scaled,13457,2148,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,1,Perimeter,1.1352662555742488,1.1352662555742488
SHAP,logistic_regression,Logistic Regression,scaled,13457,2148,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,2,ConvexArea,0.7494866456000614,0.7494866456000614
SHAP,logistic_regression,Logistic Regression,scaled,13457,2148,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,3,Area,0.7177855755628756,0.7177855755628756
SHAP,logistic_regression,Logistic Regression,scaled,13457,2148,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,4,MajorAxisLength,0.5804864067334438,0.5804864067334438
SHAP,logistic_regression,Logistic Regression,scaled,13457,2148,dermason_predicted_as_sira,logistic_regression,3,DERMASON,6,SIRA,5,EquivDiameter,0.5066652599298207,0.5066652599298207
SHAP,logistic_regression,Logistic Regression,scaled,13499,182,dermason_predicted_as_sira,decision_tree,3,DERMASON,6,SIRA,1,Perimeter,1.1147870074896122,1.1147870074896122
SHAP,logistic_regression,Logistic Regression,scaled,13499,182,dermason_predicted_as_sira,decision_tree,3,DERMASON,6,SIRA,2,ConvexArea,0.7234240175849457,0.7234240175849457
